source_id,niveau,montant,unite,ordre,order_niveau_regle,cible,flag_chiffre_independant_des_benefs,exception,cible_si_independant,flag_optionel,min,max,flag_cible_multiple,flag_delegation
304815,1,5,%,1,1,intérêt aux actions,True,False,False,False,False,False,False,False
304815,1,10,%,2,2,réserve,False,False,False,False,False,False,False,False
304815,2,20,%,3,1,parts de fondateur,False,False,False,False,False,False,False,False
304815,2,10,%,4,2,réserve spéciale pour amortissements,False,False,False,False,False,False,False,False
304830,1,20,%,1,1,réserve légale,False,False,False,False,False,False,False,False
304847,1,20,%,1,1,réserve légale,False,False,False,False,False,False,False,False
304847,1,5,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
304847,2,95,%,3,1,actions,False,False,False,False,False,False,False,False
304866,1,20,%,1,1,réserve légale,False,False,False,False,False,False,False,False
304866,1,5,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
304866,2,90,%,3,1,actions,False,False,False,False,False,False,False,False
304881,1,20,%,1,1,réserve légale,False,False,False,False,False,False,False,False
304898,1,20,%,1,1,réserve légale,False,False,False,False,False,False,False,False
304898,1,5,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
304898,2,5,%,3,1,administrateurs,False,False,False,False,False,False,False,False
304898,2,5,%,4,2,directeur,False,False,False,False,False,False,False,False
304898,2,90,%,5,3,actions,False,False,False,False,False,False,False,False
304922,1,4,%,1,1,intérêt aux actions,True,False,False,False,False,False,False,False
304922,2,90,%,2,1,actions,False,False,False,False,False,False,False,False
304954,1,20,%,1,1,réserve légale,False,False,False,False,False,False,False,False
304954,1,5,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
304954,2,5,%,3,1,conseil d’administration,False,False,False,False,False,False,False,False
304954,2,5,%,4,2,directeur,False,False,False,False,False,False,False,False
304954,2,90,%,5,3,actions,False,False,False,False,False,False,False,False
304973,1,20,%,1,1,réserve légale,False,False,False,False,False,False,False,False
304973,1,5,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
304973,2,15,%,3,1,conseil d’administration,False,False,False,False,False,False,False,False
304973,2,85,%,4,2,actions,False,False,False,False,False,False,False,False
305041,1,20,%,1,1,réserve légale,False,False,False,False,False,False,False,False
305071,1,20,%,1,1,réserve légale,False,False,False,False,False,False,False,False
305071,1,5,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
305071,2,97,%,3,1,actions,False,False,False,False,False,False,False,False
305071,2,3,%,4,2,administrateurs,False,False,False,False,False,False,False,False
305089,1,20,%,1,1,réserve légale,False,False,False,False,False,False,False,False
305089,1,5,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
305089,2,80,%,3,1,actions,False,False,False,False,False,False,False,False
305089,2,5,%,4,2,directeur,False,False,False,False,False,False,False,False
305106,1,20,%,1,1,réserve légale,False,False,False,False,False,False,False,False
305124,1,20,%,1,1,réserve légale,False,False,False,False,False,False,False,False
305156,1,25,%,1,1,fonds de réserve,False,False,False,False,False,False,False,False
305205,1,20,%,1,1,fonds de réserve,False,False,False,False,False,False,False,False
305276,2,5,%,1,1,intérêt aux actions,True,False,False,False,False,False,False,False
305276,3,15,%,2,1,conseil d’administration,False,False,False,False,False,False,False,False
305276,3,3,%,3,2,directeur,False,False,False,False,False,False,False,False
305276,3,2,%,4,3,personnel,False,False,False,False,False,False,False,False
305276,3,80,%,5,4,actions,False,False,False,False,False,False,False,False
305290,1,20,%,1,1,fonds de réserve,False,False,False,False,False,False,False,False
305326,1,20,%,1,1,fonds de réserve,False,False,False,False,False,False,False,False
305326,2,5,%,2,1,intérêt aux actions,True,False,False,False,False,False,False,False
305326,3,10,%,3,1,conseil d’administration,False,False,False,False,False,False,False,False
305326,3,90,%,4,2,actions,False,False,False,False,False,False,False,False
305342,1,20,%,1,1,réserve légale,False,False,False,False,False,False,False,False
305342,1,5,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
305342,2,90,%,3,1,actions,False,False,False,False,False,False,False,False
305342,2,10,%,4,2,conseil d’administration,False,False,False,False,False,False,False,False
305374,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
305374,1,5,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
305374,2,10,%,3,1,administrateurs,False,False,False,False,False,False,False,False
305374,2,75,%,4,2,actionnaires,False,False,False,False,False,False,False,False
