source_id,niveau,montant,unite,ordre,cible,flag_chiffre_independant_des_benefs,exception,cible_si_independant,flag_optionel,min,max,flag_cible_multiple,flag_delegation
304815,1,5,%,1,intérêt aux actions,1,,,0,,,0,0
304815,1,10,%,2,réserve,0,,,0,,,0,0
304815,1,5,%,3,Conseil d’administration,0,,,0,,,0,0
304815,1,3,%,4,Directeur,0,,,0,,,0,0
304815,1,2,%,5,Caisse de retraite des employés,0,,,0,,,0,0
304815,2,20,%,6,parts de fondateur,0,,,0,,,0,0
304815,2,10,%,7,réserve spéciale pour amortissements,0,,,0,,,0,0
304830,1,20,%,1,réserve légale,0,,,0,,,0,0
304847,1,20,%,1,réserve légale,0,,,0,,,0,0
304847,1,5,%,2,intérêt aux actions,1,,,0,,,0,0
304847,2,5,%,3,Conseil d’administration,0,,,0,,,0,0
304847,2,95,%,4,actions,0,,,0,,,0,0
304866,1,20,%,1,réserve légale,0,,,0,,,0,0
304866,1,5,%,2,intérêt aux actions,1,,,0,,,0,0
304866,2,90,%,3,actions,0,,,0,,,0,0
304866,2,10,%,4,Conseil d’administration,0,,,0,,,0,0
304881,1,20,%,1,réserve légale,0,,,0,,,0,0
304898,1,20,%,1,réserve légale,0,,,0,,,0,0
304898,1,5,%,2,intérêt aux actions,1,,,0,,,0,0
304898,2,5,%,3,administrateurs,0,,,0,,,0,0
304898,2,5,%,4,directeur,0,,,0,,,0,0
304898,2,90,%,5,actions,0,,,0,,,0,0
304922,1,4,%,1,intérêt aux actions,1,,,0,,,0,0
304922,2,10,%,2,Conseil d’administration,0,,,0,,,0,0
304922,2,90,%,3,actions,0,,,0,,,0,0
304954,1,20,%,1,réserve légale,0,,,0,,,0,0
304954,1,5,%,2,intérêt aux actions,1,,,0,,,0,0
304954,2,5,%,3,conseil d’administration,0,,,0,,,0,0
304954,2,5,%,4,directeur,0,,,0,,,0,0
304954,2,90,%,5,actions,0,,,0,,,0,0
304973,1,20,%,1,réserve légale,0,,,0,,,0,0
304973,1,5,%,2,intérêt aux actions,1,,,0,,,0,0
304973,2,15,%,3,conseil d’administration,0,,,0,,,0,0
304973,2,85,%,4,actions,0,,,0,,,0,0
305041,1,20,%,1,réserve légale,0,,,0,,,0,0
305071,1,20,%,1,réserve légale,0,,,0,,,0,0
305071,1,5,%,2,intérêt aux actions,1,,,0,,,0,0
305071,2,97,%,3,actions,0,,,0,,,0,0
305071,2,3,%,4,administrateurs,0,,,0,,,0,0
305089,1,20,%,1,réserve légale,0,,,0,,,0,0
305089,1,5,%,2,intérêt aux actions,1,,,0,,,0,0
305089,2,80,%,3,actions,0,,,0,,,0,0
305089,2,15,%,4,Conseil d’administration,0,,,0,,,0,0
305089,2,5,%,5,directeur,0,,,0,,,0,0
305106,1,20,%,1,réserve légale,0,,,0,,,0,0
305124,1,20,%,1,réserve légale,0,,,0,,,0,0
305156,1,25,%,1,fonds de réserve,0,,,0,,,0,0
305205,1,20,%,1,fonds de réserve,0,,,0,,,0,0
305276,2,5,%,1,intérêt aux actions,1,,,0,,,0,0
305276,3,15,%,2,conseil d’administration,0,,,0,,,0,0
305276,3,3,%,3,directeur,0,,,0,,,0,0
305276,3,2,%,4,personnel,0,,,0,,,0,0
305276,3,80,%,5,actions,0,,,0,,,0,0
305290,1,20,%,1,fonds de réserve,0,,,0,,,0,0
305326,1,20,%,1,fonds de réserve,0,,,0,,,0,0
305326,2,5,%,2,intérêt aux actions,1,,,0,,,0,0
305326,3,10,%,3,conseil d’administration,0,,,0,,,0,0
305326,3,90,%,4,actions,0,,,0,,,0,0
305342,1,20,%,1,réserve légale,0,,,0,,,0,0
305342,1,5,%,2,intérêt aux actions,1,,,0,,,0,0
305342,2,90,%,3,actions,0,,,0,,,0,0
305342,2,10,%,4,conseil d’administration,0,,,0,,,0,0
305374,1,5,%,1,réserve légale,0,,,0,,,0,0
305374,1,5,%,2,intérêt aux actions,1,,,0,,,0,0
305374,2,10,%,3,administrateurs,0,,,0,,,0,0
305374,2,75,%,4,actionnaires,0,,,0,,,0,0
305374,2,15,%,5,réserve,0,,,0,,,0,0
305389,1,5,%,1,réserve légale,0,,,0,,,0,0
305389,1,5,%,2,intérêt aux actions,1,,,0,,,0,0
305389,2,10,%,3,administrateurs,0,,,0,,,0,0
305389,2,90,%,4,actions,0,,,0,,,0,0
305408,1,20,%,1,réserve légale,0,,,0,,,0,0
305444,1,5,%,1,réserve légale,0,,,0,,,0,0
305444,1,5,%,2,intérêt aux actions,1,,,0,,,0,0
305444,2,10,%,3,conseil d’administration,0,,,0,,,0,0
305444,2,5,%,4,directeur,0,,,0,,,0,0
305444,2,5,%,5,personnel,0,,,0,,,0,0
305444,2,80,%,6,actions,0,,,0,,,0,0
305480,1,20,%,1,réserve légale,0,,,0,,,0,0
305498,1,1,%,1,réserve légale,0,,,0,,,0,0
305551,1,20,%,1,réserve légale,0,,,0,,,0,0
305551,1,5,%,2,intérêt aux actions,1,,,0,,,0,0
305551,2,90,%,3,actions,0,,,0,,,0,0
305551,2,10,%,4,Conseil d’administration,0,,,0,,,0,0
317203,1,5,%,1,réserve légale,0,,,0,,,0,0
317203,1,5,%,2,intérêt aux actions,1,,,0,,,0,0
317203,2,10,%,3,conseil d’administration,0,,,0,,,0,0
317203,2,90,%,4,actions,0,,,0,,,0,0
317219,1,5,%,1,réserve légale,0,,,0,,,0,0
317219,1,5,%,2,intérêt aux actions,1,,,0,,,0,0
317219,2,20,%,3,conseil d’administration,0,,,0,,,0,0
317219,2,80,%,4,actionnaires,0,,,0,,,0,0
317236,1,5,%,1,réserve légale,0,,,0,,,0,0
317236,1,4,%,2,intérêt aux actions,1,,,0,,,0,0
317254,1,5,%,1,réserve légale,0,,,0,,,0,0
317254,2,5,%,2,intérêt aux actions,1,,,0,,,0,0
317254,3,10,%,3,conseil d’administration,0,,,0,,,0,0
317254,3,90,%,4,actions,0,,,0,,,0,0
317270,1,5,%,1,réserve,0,,,0,,,0,0
317270,1,4,%,2,intérêt aux actions,1,,,0,,,0,0
317270,3,10,%,3,conseil d’administration,0,,,0,,,0,0
317270,3,90,%,4,actions de capital,0,,,0,,,0,0
317285,1,5,%,1,réserve,0,,,0,,,0,0
317285,1,4,%,2,intérêt aux actions,1,,,0,,,0,0
317285,2,5,%,3,conseil d’administration,0,,,0,,,0,0
317285,2,5,%,4,parts de fondateur,0,,,0,,,0,0
317285,2,45,%,5,actions de capital,0,,,0,,,0,0
317285,2,45,%,6,actions de dividende,0,,,0,,,0,0
317305,1,5,%,1,réserve légale,0,,,0,,,0,0
317305,1,5,%,2,intérêt aux actions,1,,,0,,,0,0
317305,3,250,Francs,3,actions de capital,0,,,0,,,0,0
317305,3,7,%,4,conseil d’administration et au collège des commissaire,0,,,0,,,0,0
317305,6,50,%,5,actions de capital et de jouissance,0,,,0,,,0,0
317305,6,50,%,6,actions de dividende,0,,,0,,,0,0
317324,1,5,%,1,réserve légale,0,,,0,,,0,0
317324,1,4,%,2,intérêt aux actions privilégiées,1,,,0,,,0,0
317324,1,4,%,3,intérêt aux actions,1,,,0,,,0,0
317324,2,10,%,4,conseil d’administration,0,,,0,,,0,0
317324,2,5,%,5,administrateur-délégué,0,,,0,,,0,1
317324,2,15,%,6,personnel,0,,,0,,,0,0
317324,2,70,%,7,actions,0,,,0,,,0,0
317338,1,5,%,1,réserve,0,,,0,,,0,0
317338,1,4,%,2,intérêt aux actions,1,,,0,,,0,0
317338,3,10,%,3,conseil,0,,,0,,,0,0
317338,3,90,%,4,actions,0,,,0,,,0,0
