id,corporation,infodate,texte
304754,2100,31/12/1912,Répartition des bénéfices : effectuée suivant les décisions de l'assemblée générale.
304770,148,31/12/1912,Répartition des bénéfices : effectuée suivant les décisions de l'Assemblée générale
304789,436,31/12/1912,Répartition des bénéfices : effectuée suivant la décision de l' Assemblée générale.
304815,3246,31/12/1912,"Répartition des bénéfices : 5 % d'intérêt aux actions. Sur l'excédent : 10% à la réserve de bénéfice, 5 % au Conseil d'administration, 3 % au Directeur, 2 % à la Caisse de retraite des employés. Sur le surplus 20% aux parts de fondateurs, 10% à la réserve spéciale pour amortissements. Le solde est réparti conformément aux décidions de l'Assemblée générale."
304830,3524,31/12/1912,Répartition des bénéfices : 20 % à la réserve légale ; prélèvements déterminés par le Conseil d'administration en faveur des réserves. Le solde aux actions.
304847,2346,31/12/1912,Répartition des bénéfices : 20% à la réserve légale ; 5 % d'intérêt aux actions. Sur le solde : 5 % au Conseil d'administration. 95 % aux actions.
304866,2120,31/12/1912,"Répartition des bénéfices : 20 % à la réserve légale ; 5 % d'intérêt aux actions. Sur le solde : 90 % aux actions, 10 % au Conseil d'administration."
304881,365,31/12/1912,Répartition des bénéfices : 20 % à la réserve légale. Le surplus des bénéfices est réparti suivant les décisions de l'Assemblée générale.
304898,2115,31/12/1912,"Répartition des bénéfices : 20 % à la réserve légale ; prélèvements en faveur des réserves spéciales et du fonds de prévoyance ; 5 % d'intérêt aux actions. Sur le solde : 5 % aux administrateurs, 5 % au directeur, 90 % aux actions."
304922,1594,31/12/1912,"Répartition des bénéfices : après déduction de tous prélèvements en faveur de réserves, et de la part revenant aux assurés en participation, il est versé 4 % d'intérêt aux actions. Sur le solde 10 % au Conseil d'administration, 90 % aux actions."
304937,2103,31/12/1912,Répartition des bénéfices : effectuée suivant les décisions de l'assemblée générale.
304954,2082,31/12/1912,"Répartition des bénéfices : 20 % à la réserve légale ; prélèvement pour l'amortissement du compte de premier établissement, des commissions escomptées, et pour la constitution d'un fonds de prévoyance ; 5 % d'intérêt aux actions. Sur le solde, 5 % au conseil d'administration ; 5 % au directeur ; 90 % aux actions."
304973,737,31/12/1912,Répartition des bénéfices : 20 % à la réserve légale ; 5 % d'intérêt aux actions. Sur le solde : 15 % au conseil d'administration et au directeur ; 85 % aux actions.
